DEPTH_WMSF (m),HSGR (gAPI),HCGR (gAPI),HFK (%),HTHO (ppm),HURA (ppm),HBHK (%),IDPH (ohmm),IMPH (ohmm),SFLU (ohmm),RHOM (g/cm3),DRH (g/cm3),PEFL (barns/e-),NRHB (g/cm3),APLC (%),STOF (in),SIGF (cu),AFEC (cps),ANEC (cps),IMAGE_ID,ROCK_CLASS
196.7536,22.3793,10.4458,0.2681,1.7814,1.5288,0.0042,1.0243,1.0378,0.9766,1.9415,0.0087,4.0406,1.9415,54.9568,0.3481,22.093,524.8889,2652.5,4512_1194B,Packstone
196.906,22.5866,10.4356,0.289,1.6555,1.553,0.0042,1.0302,1.0502,0.9727,1.9304,0.0064,4.0677,1.9304,52.4151,0.351,22.3491,496.5,2648.5,4518_1194B,Packstone
197.0584,22.7971,10.1358,0.2633,1.7097,1.6272,0.0042,1.0474,1.0587,0.9047,1.9176,0.0059,4.0994,1.9176,54.4644,0.4326,22.4675,501.3333,2628,4524_1194B,Packstone
197.2108,23.7665,9.9422,0.2481,1.737,1.8116,0.0042,1.0634,1.0658,0.8975,1.9269,0.007,4.1314,1.9269,48.7401,0.3349,22.4316,550,2589,4530_1194B,Packstone
197.3632,23.3175,8.692,0.211,1.5528,1.8791,0.0042,1.0693,1.0754,0.9149,1.9445,0.011,4.0709,1.9445,47.1776,0.6102,23.0005,506.5,2575.5,4536_1194B,Packstone
197.5156,23.7727,8.3121,0.2125,1.4224,1.979,0.0042,1.0763,1.0891,0.9603,1.969,0.0185,4.1444,1.969,39.26,1.2285,20.2944,497.5,2567.5,4542_1194B,Packstone
197.668,24.5267,8.3796,0.2153,1.4276,2.0708,0.0042,1.0793,1.1043,0.9768,1.9718,0.0211,4.0741,1.9718,40.6737,1.1638,19.7761,506.5,2656.5,4548_1194B,Packstone
197.8204,25.3268,8.8199,0.2343,1.4577,2.1229,0.0042,1.0794,1.1162,0.988,1.9805,0.0235,4.0174,1.9805,45.2147,0.7299,21.8503,496,2555,4554_1194B,Packstone
197.9728,25.2827,7.9924,0.2429,1.142,2.2566,0.0042,1.0757,1.1185,1.0085,1.9892,0.0293,3.9909,1.9892,42.1269,1.0568,20.3922,504,2619,4560_1194B,Packstone
206.05,23.7372,5.7842,0.1857,0.7683,2.215,0.0042,1.0778,1.0847,0.9181,1.9921,0.0521,4.2027,1.9921,46.8663,0.5854,19.976,524.4338,2656.7583,4878_1194B,Packstone
206.2024,21.2981,5.3826,0.1575,0.8043,1.9589,0.0042,1.0609,1.0719,0.9152,1.9888,0.0604,4.0142,1.9888,44.8973,0.8164,19.8534,504.4721,2676.0398,4884_1194B,Packstone
206.3548,21.0468,5.6694,0.1571,0.899,1.9072,0.0042,1.0494,1.0643,0.9176,1.9838,0.0594,3.9293,1.9838,46.5088,0.6899,20.8397,517.0474,2658.936,4890_1194B,Packstone
206.5072,21.6882,5.0983,0.1446,0.7889,2.0725,0.0042,1.0451,1.0586,0.9064,1.9842,0.0604,3.9804,1.9842,47.8968,0.4629,21.1692,503.9348,2664.3887,4896_1194B,Packstone
206.6596,22.1434,4.8413,0.1472,0.6911,2.1886,0.0042,1.0403,1.054,0.8945,1.9839,0.0646,4.0692,1.9839,48.2082,0.3519,21.1864,516.1586,2616.2476,4902_1194B,Packstone
235.006,26.314,4.9338,0.0977,1.0099,2.6767,-0.0639,0.9242,0.9404,0.8228,1.9517,0.0987,4.0215,1.9517,48.5369,0.5767,21.2536,496,2643,6018_1194B,Packstone
235.1584,26.3295,5.3104,0.1152,1.028,2.637,-0.0639,0.9293,0.9542,0.8609,1.9503,0.0904,4.1069,1.9503,45.0058,0.6037,21.1233,516,2643.5,6024_1194B,Packstone
235.3108,26.3361,5.6217,0.1244,1.074,2.5958,-0.0639,0.9348,0.9689,0.8741,1.9525,0.0846,4.1839,1.9525,47.7947,0.5264,21.5942,504.5,2596.5,6030_1194B,Wackestone
235.4632,27.112,6.2231,0.1198,1.2941,2.6306,-0.0639,0.9464,0.9827,0.8751,1.9479,0.0759,4.2578,1.9479,45.3762,0.6797,21.4187,522.5,2558.8,6036_1194B,Wackestone
254.2084,32.1067,15.5817,0.4625,2.2883,2.0838,-0.0639,1.3925,1.412,1.2334,2.0543,0.0229,4.0662,2.0543,46.4288,0.2301,23.8066,500.8305,2676.0022,6774_1194B,Packstone
254.3608,31.3985,14.6372,0.4243,2.2092,2.1252,-0.0639,1.3796,1.4168,1.2571,2.0565,0.027,4.0762,2.0565,42.8464,0.3293,23.3519,528.1667,2646,6780_1194B,Packstone
254.5132,30.2812,13.4048,0.3975,1.971,2.1152,-0.0639,1.3531,1.4006,1.2686,2.0759,0.0364,4.2833,2.0759,40.3312,0.4045,23.7383,537.5,2620,6786_1194B,Packstone
254.6656,28.3277,11.42,0.3364,1.6924,2.1199,-0.0639,1.3394,1.3733,1.2679,2.0994,0.0501,4.6536,2.0994,40.625,0.678,22.6187,514.8323,2661.4834,6792_1194B,Packstone
254.818,27.5635,10.8271,0.3147,1.6291,2.0973,-0.0639,1.3108,1.3367,1.1819,2.1123,0.0631,4.8503,2.1123,42.3619,0.8275,20.8753,503.4466,2617.4939,6798_1194B,Packstone
254.9704,26.4089,9.7531,0.3077,1.3259,2.0923,-0.0639,1.2827,1.2963,1.1376,2.0868,0.0646,4.7482,2.0868,48.1664,0.6633,21.04,501,2658.3086,6804_1194B,Packstone
255.1228,26.4501,9.7553,0.3065,1.3334,2.1007,-0.0639,1.262,1.259,1.1111,2.0464,0.0626,4.56,2.0464,50.8593,0.5266,21.4906,500.7223,2659.2441,6810_1194B,Packstone
255.2752,26.0353,9.8913,0.2847,1.5044,2.0299,-0.0639,1.246,1.2307,1.0555,2.0106,0.0629,4.354,2.0106,51.5105,0.4486,21.7931,518.4936,2620.6729,6816_1194B,Packstone
255.4276,24.5741,9.2658,0.2523,1.4942,1.9237,-0.0639,1.2272,1.2153,1.0037,1.992,0.066,4.1889,1.992,52.0284,0.3697,21.8937,536.0035,2617.9866,6822_1194B,Packstone
255.58,23.7538,8.6957,0.2427,1.3676,1.8895,-0.0639,1.2011,1.213,1.0098,1.9953,0.0694,4.1344,1.9953,51.4939,0.287,21.6631,527.4393,2656.4429,6828_1194B,Packstone
255.7324,23.5903,8.8148,0.2411,1.4149,1.8319,-0.0639,1.173,1.2195,1.0302,2.0096,0.0706,4.1152,2.0096,51.2564,0.1449,21.8495,532.9984,2660.2151,6834_1194B,Packstone
255.8848,23.0055,8.6546,0.2222,1.4746,1.7626,-0.0639,1.1588,1.2258,1.0687,2.0291,0.0722,4.1867,2.0291,49.4223,0.2319,22.0006,537,2678,6840_1194B,Packstone
256.0372,23.8242,8.8932,0.2571,1.3464,1.8373,-0.0639,1.1442,1.2157,1.0513,2.0333,0.0704,4.2062,2.0333,48.2323,0.2651,21.0413,524.3592,2652.4031,6846_1194B,Packstone
256.1896,23.2583,8.2634,0.2489,1.1929,1.9026,-0.0639,1.1262,1.1855,1.0188,2.0144,0.0677,4.2118,2.0144,47.5569,0.3261,20.26,518.6437,2692.0037,6852_1194B,Packstone
256.342,24.2408,8.7456,0.2802,1.164,1.9868,-0.0639,1.1101,1.1462,0.9943,1.9973,0.0726,4.1721,1.9973,48.9386,0.3578,20.2688,514.4284,2661.2905,6858_1194B,Packstone
256.4944,24.2538,8.7962,0.2891,1.1282,1.9603,-0.0639,1.0897,1.1108,0.9731,1.9956,0.0871,4.0808,1.9956,47.3549,0.4891,19.5542,511.573,2658.1377,6864_1194B,Grainstone
256.6468,22.8196,9.0959,0.2878,1.232,1.6952,-0.0639,1.0707,1.0862,0.9669,1.998,0.1034,4.0045,1.998,46.0323,0.6223,18.7924,514.6324,2626.1614,6870_1194B,Grainstone
256.7992,21.2272,8.2206,0.2684,1.0651,1.6327,-0.0639,1.054,1.0722,0.9597,1.9948,0.1145,4.0282,1.9948,45.0406,0.751,18.2505,513.127,2668.2856,6876_1194B,Grainstone
263.8096,27.7413,9.9201,0.2235,1.8725,2.1892,-0.0805,1.1422,1.1571,1.0021,1.9859,0.2629,3.5171,1.9859,58.7081,0.8513,26.0553,479.7857,2529.6736,7152_1194B,Grainstone
263.962,27.2917,9.7562,0.212,1.8874,2.105,-0.0805,1.1498,1.1604,0.9982,1.9713,0.2582,3.4418,1.9713,58.3396,0.8553,25.4904,481.0714,2522.1426,7158_1194B,Grainstone
264.1144,26.7746,9.2257,0.1938,1.8235,2.112,-0.0805,1.1531,1.1645,0.9969,1.9497,0.2471,3.3572,1.9497,62.2634,0.6215,25.6019,504,2540,7164_1194B,Grainstone
264.2668,26.7604,9.2405,0.1709,1.9625,2.1559,-0.0805,1.1542,1.171,1.0088,1.9395,0.2442,3.3293,1.9395,62.7754,0.7249,25.8677,479.11,2512.8877,7170_1194B,Grainstone
264.4192,26.5518,8.6196,0.1536,1.8648,2.2418,-0.0805,1.1479,1.1782,1.0221,1.9434,0.2503,3.3478,1.9434,62.1466,0.7819,25.6272,479.4559,2544.8799,7176_1194B,Grainstone
264.5716,27.4489,7.9522,0.1408,1.7254,2.4607,-0.0805,1.139,1.1808,1.0409,1.9391,0.2472,3.3677,1.9391,61.0935,0.8112,25.3665,476.3401,2564.6633,7182_1194B,Grainstone
273.4108,27.0493,8.0996,0.1412,1.7705,2.4754,-0.0805,1.1491,1.1522,0.9831,2.0014,0.2795,3.429,2.0014,60.174,0.8435,23.6907,461.5,2517,7530_1194B,Grainstone
273.5632,26.2442,6.9689,0.1256,1.4997,2.4962,-0.0805,1.1584,1.1634,0.9861,1.9865,0.2694,3.398,1.9865,61.2397,0.8047,23.6152,483,2531,7536_1194B,Grainstone
273.7156,26.7885,7.325,0.1584,1.4218,2.5107,-0.0805,1.1625,1.1798,1.0063,1.9812,0.2708,3.3208,1.9812,61.9724,0.7847,23.6873,491.5,2525.5,7542_1194B,Grainstone
273.868,27.9018,6.6009,0.1166,1.4345,2.7918,-0.0805,1.163,1.1979,1.0293,1.991,0.2747,3.3345,1.991,61.5259,0.7841,23.7678,467.5,2504.5715,7548_1194B,Grainstone
274.0204,28.036,6.0364,0.1322,1.162,2.8975,-0.0805,1.1583,1.2109,1.0621,2.0104,0.2804,3.42,2.0104,59.8343,0.8331,23.7916,465.5,2559.5,7554_1194B,Grainstone
274.1728,28.614,6.2834,0.1465,1.1575,2.909,-0.0805,1.1507,1.2109,1.0717,2.0308,0.2851,3.4884,2.0308,59.0423,0.7557,24.2568,452.5714,2538,7560_1194B,Grainstone
283.012,27.913,8.1491,0.2486,1.1574,2.4957,-0.0805,1.1734,1.2213,1.067,2.0592,0.1305,3.6646,2.0592,46.8104,1.0433,21.1512,481,2541.7778,7908_1194B,Grainstone
283.1644,28.5029,8.4228,0.272,1.1079,2.4841,-0.0805,1.1824,1.2465,1.1267,2.08,0.1327,3.794,2.08,44.2653,1.0905,20.7653,499,2540.5,7914_1194B,Grainstone
283.3168,27.6139,8.1126,0.2754,0.9885,2.3934,-0.0805,1.1925,1.2549,1.1178,2.0857,0.1336,3.9099,2.0857,42.5973,1.1082,19.7542,496.5,2528,7920_1194B,Grainstone
283.4692,24.6082,6.7532,0.2422,0.7471,2.2471,-0.0805,1.1962,1.245,1.0896,2.0757,0.1329,4.0406,2.0757,40.8784,1.1538,18.6231,509.3333,2537,7926_1194B,Grainstone
292.6132,23.6235,7.4892,0.1501,1.5216,2.1553,-0.0805,1.1483,1.1731,1.0189,2.0524,0.1482,3.864,2.0524,40.7444,0.898,19.2101,525.3439,2584.3286,8286_1194B,Grainstone
292.7656,23.3324,7.3072,0.1374,1.5372,2.1399,-0.0805,1.1416,1.1706,1.0082,2.0586,0.1501,3.8761,2.0586,43.9542,0.6561,20.2798,494.3843,2579.8857,8292_1194B,Grainstone
292.918,23.3045,6.9781,0.1201,1.5331,2.1796,-0.0805,1.1355,1.1676,1.0084,2.0631,0.1469,3.9447,2.0631,45.8332,0.5755,20.3742,494.7968,2531.5854,8298_1194B,Grainstone
293.0704,23.5108,6.9657,0.1132,1.5691,2.2024,-0.0805,1.1302,1.1636,1.0079,2.0647,0.1414,4.0188,2.0647,45.0973,0.6565,19.8347,506.8588,2534.2671,8304_1194B,Grainstone
293.2228,23.6011,7.2102,0.1259,1.5737,2.1637,-0.0805,1.1262,1.1587,0.9993,2.0652,0.1372,4.0152,2.0652,43.6692,0.8034,19.6745,496.7781,2621.1172,8310_1194B,Grainstone
293.3752,24.0369,7.5333,0.1491,1.5412,2.1713,-0.0805,1.1237,1.1538,0.9856,2.0576,0.1289,3.9141,2.0576,45.8164,0.846,19.6176,499.6645,2568.053,8316_1194B,Grainstone
302.2144,26.8392,8.5186,0.2647,1.1806,2.2882,-0.0805,1.1585,1.1914,1.0521,2.075,0.168,3.8159,2.075,43.7255,0.8012,20.4647,533.5,2532,8664_1194B,Grainstone
302.3668,25.9533,7.9554,0.2363,1.1667,2.2196,-0.0805,1.1516,1.1876,1.0406,2.0656,0.1584,3.8689,2.0656,46.636,0.5971,21.4021,476,2581,8670_1194B,Grainstone
302.5192,25.8207,8.7226,0.2536,1.3111,2.0842,-0.0805,1.148,1.1828,1.0417,2.0536,0.1472,3.943,2.0536,47.0647,0.7271,20.4617,523.5,2635,8676_1194B,Grainstone
302.6716,26.766,8.7651,0.2504,1.344,2.1901,-0.0805,1.1407,1.1768,1.023,2.0426,0.1378,3.9387,2.0426,42.7366,1.1113,17.7352,496,2577,8682_1194B,Grainstone
302.824,26.3198,7.9259,0.2169,1.271,2.2868,-0.0805,1.1357,1.1696,1.0101,2.0398,0.1325,3.9632,2.0398,45.3844,0.7799,19.979,502.5,2608,8688_1194B,Grainstone
302.9764,25.8867,7.5863,0.2007,1.2567,2.2672,-0.0805,1.1342,1.163,1.0094,2.024,0.1181,3.8016,2.024,41.105,0.946,19.694,522,2535,8694_1194B,Grainstone
303.1288,24.5208,7.3293,0.1926,1.2219,2.1467,-0.0805,1.1309,1.1587,1.0052,2.0207,0.1111,3.7575,2.0207,41.1087,0.9101,19.4179,495,2564.5,8700_1194B,Grainstone
303.2812,25.7322,7.2497,0.173,1.3109,2.3524,-0.0805,1.1287,1.1577,1.0231,2.0153,0.1031,3.8282,2.0153,38.8391,1.206,18.1831,518.5,2557.5,8706_1194B,Grainstone
303.4336,26.2618,6.5839,0.1741,1.0913,2.5584,-0.0805,1.1287,1.1597,1.0254,2.0176,0.1001,3.987,2.0176,44.2811,0.7672,20.8121,528.5,2581.1428,8712_1194B,Grainstone
303.586,27.577,7.2751,0.2068,1.1212,2.6162,-0.0805,1.1312,1.1639,1.0298,2.0123,0.0876,4.0109,2.0123,48.1846,0.6395,20.3572,527,2592.5,8718_1194B,Grainstone
303.7384,26.9347,6.9007,0.1896,1.1023,2.6211,-0.0805,1.1353,1.1694,1.0254,2.0169,0.0802,3.9838,2.0169,46.2488,0.699,19.4714,525,2569.5,8724_1194B,Grainstone
303.8908,26.2642,6.7261,0.1867,1.063,2.5431,-0.0805,1.146,1.1757,1.0183,2.024,0.0729,4.0731,2.024,43.0953,0.6983,19.6256,522.2857,2658,8730_1194B,Grainstone
311.968,28.3098,11.7037,0.3249,1.8491,2.0092,0.0054,1.227,1.2731,1.1393,2.1039,0.1268,3.5826,2.1039,40.0048,0.579,19.4877,548.261,2582.176,9048_1194B,Grainstone
312.1204,26.8073,10.875,0.3117,1.6605,1.9218,0.0054,1.2301,1.2784,1.1354,2.1172,0.1297,3.6817,2.1172,39.8864,0.6713,19.3053,538.2125,2586.564,9054_1194B,Grainstone
312.2728,26.7943,11.6774,0.33,1.8102,1.8043,0.0054,1.2337,1.2783,1.1309,2.1275,0.129,3.9585,2.1275,42.0423,0.6016,19.2552,546.8727,2536.9551,9060_1194B,Grainstone
312.4252,26.5988,11.7579,0.3291,1.8414,1.7566,0.0054,1.2351,1.2744,1.1296,2.1226,0.1215,4.0441,2.1226,41.9132,0.5439,19.7346,536.944,2579.7803,9066_1194B,Grainstone
312.5776,26.6603,11.3586,0.3204,1.7641,1.8497,0.0054,1.2347,1.2691,1.1205,2.1046,0.1111,4.0188,2.1046,40.7096,0.5603,19.6551,556.7087,2624.6218,9072_1194B,Grainstone
312.73,25.8865,10.8341,0.3058,1.682,1.8187,0.0054,1.2367,1.2649,1.1205,2.0931,0.1098,3.8863,2.0931,38.2196,0.6732,19.3538,534.7172,2598.9058,9078_1194B,Grainstone
312.8824,25.5423,11.3328,0.3243,1.7335,1.7024,0.0054,1.2386,1.2642,1.1246,2.0819,0.1053,3.8199,2.0819,38.237,0.621,19.5808,542.5559,2533.1868,9084_1194B,Grainstone
313.0348,25.9893,11.9313,0.3413,1.8255,1.6812,0.0054,1.2393,1.2679,1.1343,2.0767,0.0992,3.8391,2.0767,36.8154,0.6499,19.3846,518.4609,2575.2095,9090_1194B,Grainstone
313.1872,26.2945,12.1349,0.3425,1.8838,1.6921,0.0054,1.2453,1.2756,1.1387,2.0705,0.0902,3.8855,2.0705,38.4259,0.633,19.3493,533.1785,2612.1956,9096_1194B,Grainstone
313.3396,26.6685,12.8267,0.3362,2.1423,1.6569,0.0054,1.2513,1.2856,1.1401,2.0716,0.0879,3.9074,2.0716,39.9544,0.6526,19.5181,530.8578,2589.4524,9102_1194B,Grainstone
321.5692,25.1448,13.0665,0.3522,2.1243,1.4484,0.0054,1.4161,1.4556,1.3272,2.0977,0.108,3.6144,2.0977,37.834,0.5124,19.1886,544.4468,2591.4224,9426_1194B,Packstone
321.7216,25.349,12.4118,0.3371,2.0027,1.5371,0.0054,1.4101,1.4454,1.3431,2.0848,0.101,3.7241,2.0848,38.6197,0.4861,19.7201,525.1824,2564.0164,9432_1194B,Packstone
321.874,25.3766,12.3977,0.3313,2.032,1.5396,0.0054,1.3962,1.4306,1.3487,2.0779,0.1034,3.778,2.0779,39.6763,0.4912,20.1334,516.9434,2549.9155,9438_1194B,Packstone
322.0264,24.9287,12.3152,0.3316,2.0044,1.5007,0.0054,1.3862,1.4139,1.3274,2.0709,0.1076,3.7419,2.0709,42.3454,0.4304,20.5977,531.2773,2554.1536,9444_1194B,Packstone
322.1788,23.709,11.3682,0.3088,1.8342,1.4886,0.0054,1.3847,1.4004,1.2656,2.065,0.1111,3.6786,2.065,45.0765,0.3847,21.5863,545.4155,2550.2773,9450_1194B,Packstone
322.3312,22.827,10.6344,0.2871,1.7261,1.4954,0.0054,1.3822,1.3954,1.2179,2.064,0.112,3.6239,2.064,45.3013,0.3817,22.0503,539.2659,2563.9434,9456_1194B,Packstone
322.4836,23.084,10.5955,0.2748,1.7858,1.5583,0.0054,1.3791,1.4011,1.2163,2.0686,0.1085,3.6128,2.0686,43.4595,0.3713,21.3708,520.4722,2579.9299,9462_1194B,Packstone
322.636,24.1185,10.1182,0.2478,1.791,1.7728,0.0054,1.3779,1.4148,1.2438,2.0772,0.1021,3.6619,2.0772,41.7646,0.3536,20.602,526.9021,2582.2227,9468_1194B,Packstone
322.7884,24.4767,9.7621,0.2422,1.7098,1.8711,0.0054,1.3755,1.4301,1.29,2.085,0.0872,3.8052,2.085,40.4301,0.3966,19.8428,532.0835,2575.6392,9474_1194B,Packstone
322.9408,23.9317,9.5111,0.2462,1.6059,1.8194,0.0054,1.3736,1.4405,1.3096,2.0935,0.0694,3.9756,2.0935,38.7357,0.4073,19.3597,547.9964,2582.9155,9480_1194B,Packstone
323.0932,23.5251,8.9744,0.2391,1.4751,1.8209,0.0054,1.374,1.4416,1.3213,2.1105,0.0588,4.07,2.1105,36.7756,0.3755,19.1711,550.0591,2598.302,9486_1194B,Packstone
323.2456,23.5473,9.012,0.2368,1.5007,1.8543,0.0054,1.3746,1.4329,1.3337,2.1212,0.0502,4.1516,2.1212,36.7804,0.3397,19.3354,548.6784,2612.0298,9492_1194B,Packstone
323.398,23.8069,9.2619,0.2416,1.5528,1.8767,0.0054,1.3765,1.4171,1.3207,2.1178,0.0408,4.2604,2.1178,37.9594,0.3276,19.3565,558.1358,2645.6177,9498_1194B,Packstone
323.5504,23.856,9.1434,0.2482,1.4758,1.8849,0.0054,1.3778,1.3996,1.2996,2.1117,0.0388,4.3367,2.1117,39.5171,0.2949,18.9678,558.2867,2645.5361,9504_1194B,Packstone
323.7028,23.7206,8.7066,0.2496,1.3276,1.8956,0.0054,1.3777,1.3855,1.2869,2.1088,0.0429,4.3221,2.1088,40.1072,0.2644,18.4321,568.2227,2620.7217,9510_1194B,Packstone
323.8552,23.5229,8.3315,0.2518,1.1949,1.9065,0.0054,1.3752,1.3779,1.2925,2.1053,0.0449,4.269,2.1053,39.6821,0.2914,17.971,571.0825,2628.1248,9516_1194B,Packstone
331.1704,26.3113,8.2972,0.2142,1.4041,2.2496,0.0054,1.6024,1.6464,1.5235,2.1714,0.0359,4.0615,2.1714,37.3544,0.336,19.4017,535.5,2639.5,9804_1194B,Grainstone
331.3228,26.9345,7.771,0.2006,1.3153,2.4128,0.0054,1.6048,1.648,1.5266,2.1438,0.0128,4.2207,2.1428,37.5346,0.2838,19.1084,547.0712,2652.0674,9810_1194B,Grainstone
331.4752,27.1412,7.9097,0.2203,1.2442,2.4205,0.0054,1.6048,1.649,1.5322,2.1287,0.0091,4.4785,2.145,38.5562,0.2036,18.4754,562.2143,2701.0715,9816_1194B,Grainstone
331.6276,27.5828,8.3778,0.2327,1.3215,2.4259,0.0054,1.6013,1.6471,1.5511,2.1225,0.0092,4.7535,2.1579,38.6124,0.1972,18.167,582.7183,2703.3499,9822_1194B,Grainstone
331.78,26.9702,8.0843,0.218,1.3137,2.3732,0.0054,1.5942,1.6409,1.5584,2.126,0.0119,4.6855,2.1184,38.9708,0.17,17.8009,574.9982,2691.3723,9828_1194B,Grainstone
331.9324,26.6299,7.8821,0.2079,1.308,2.3687,0.0054,1.5882,1.6312,1.548,2.1353,0.0175,4.3776,2.1353,38.2901,0.1529,17.6411,598,2698.6428,9834_1194B,Grainstone
332.0848,26.7662,8.1824,0.2179,1.3457,2.3428,0.0054,1.5844,1.6214,1.487,2.1312,0.0128,4.3732,2.1265,37.3684,0.1394,18.3636,612.0004,2661.3533,9840_1194B,Grainstone
332.2372,28.9702,8.95,0.2705,1.2831,2.5154,0.0054,1.5819,1.6155,1.4416,2.1251,0.0072,4.3937,2.1595,37.1658,0.0674,19.1791,579,2649,9846_1194B,Grainstone
332.3896,29.3875,9.8938,0.3149,1.3257,2.4756,0.0054,1.5765,1.615,1.4315,2.1278,0.0028,4.4992,2.1441,36.9093,0.013,19.5638,603.4456,2705.0024,9852_1194B,Grainstone
332.542,28.5741,10.0805,0.3369,1.2565,2.3439,0.0054,1.5729,1.6156,1.4666,2.1367,0.0015,4.5012,2.1182,36.74,0.0122,19.2542,612.1591,2664.1787,9858_1194B,Grainstone
332.6944,27.8089,10.0494,0.3293,1.2914,2.2537,0.0054,1.5686,1.6146,1.5202,2.1546,0.0047,4.5302,2.1693,35.9137,0.0055,19.3816,627.064,2680.156,9864_1194B,Grainstone
332.8468,26.6219,10.0962,0.3188,1.3676,2.1063,0.0054,1.5648,1.6104,1.5482,2.1666,0.0077,4.6252,2.1925,35.6168,-999.25,19.4651,611.9363,2732.7644,9870_1194B,Grainstone
332.9992,25.6915,9.9917,0.3039,1.4217,2.0135,0.0054,1.5628,1.6025,1.5489,2.167,0.0091,4.6437,2.1775,36.0722,-999.25,19.6006,594.9443,2768.5535,9876_1194B,Grainstone
333.1516,25.1894,9.5576,0.2811,1.416,2.0098,0.0054,1.5624,1.5918,1.5297,2.1599,0.0097,4.5632,2.1555,36.7052,-999.25,19.661,596.3333,2774.1667,9882_1194B,Grainstone
333.304,24.636,9.1984,0.2647,1.397,1.9765,0.0054,1.5625,1.58,1.4973,2.1515,0.0101,4.4732,2.1383,37.1586,-999.25,19.4388,597.5558,2757.843,9888_1194B,Grainstone
333.4564,24.5636,9.5742,0.2637,1.5232,1.9141,0.0054,1.5613,1.5693,1.4792,2.1446,0.0104,4.3353,2.1432,37.5339,-999.25,19.636,593.2787,2712.8245,9894_1194B,Grainstone
333.6088,24.4963,9.7042,0.2495,1.6477,1.8895,0.0054,1.5584,1.5611,1.47,2.1422,0.0123,4.3812,2.1422,36.8346,-999.25,19.546,571.5,2735.4285,9900_1194B,Grainstone
333.7612,23.98,9.1439,0.2274,1.5975,1.8777,0.0054,1.5573,1.5557,1.4672,2.1355,0.0151,4.4057,2.1355,38.3154,-999.25,19.5338,583.5,2797,9906_1194B,Grainstone
333.9136,23.9328,9.582,0.2284,1.732,1.8403,0.0054,1.5519,1.5541,1.4544,2.1245,0.0121,4.3419,2.1245,38.5477,-999.25,18.6453,582,2692.4443,9912_1194B,Grainstone
334.066,25.7275,9.6974,0.2148,1.8486,2.0397,0.0054,1.5487,1.5555,1.462,2.1195,0.0149,4.2624,2.1195,38.699,-999.25,18.8797,546.5,2745.1428,9918_1194B,Grainstone
334.2184,25.2912,9.6629,0.2227,1.7918,1.9744,0.0054,1.55,1.5586,1.4726,2.1199,0.0178,4.239,2.1199,37.526,0.0464,18.4885,599.5,2693,9924_1194B,Grainstone
334.3708,24.9283,9.3619,0.2172,1.7272,1.966,0.0054,1.5573,1.5628,1.4991,2.1228,0.0208,4.2135,2.1228,35.8646,0.074,18.9255,593.5,2728.5,9930_1194B,Grainstone
334.5232,24.3776,9.9333,0.2508,1.7139,1.7933,0.0054,1.5641,1.5678,1.4976,2.1282,0.0212,4.2209,2.1282,33.7766,0.1602,18.8902,581.5,2694.5,9936_1194B,Grainstone
334.6756,25.8104,10.6639,0.2924,1.7045,1.8584,0.0054,1.5713,1.5734,1.4979,2.1409,0.0219,4.2446,2.1409,34.3793,0.169,19.6887,607,2657,9942_1194B,Grainstone
334.828,27.1926,10.9865,0.3045,1.7365,1.9966,0.0054,1.5792,1.5797,1.5041,2.142,0.0132,4.3402,2.142,35.1709,0.134,19.5905,588,2640.5715,9948_1194B,Grainstone
334.9804,26.9099,10.77,0.3043,1.6685,2.0002,0.0054,1.587,1.5872,1.5008,2.1361,0.0073,4.5489,2.1693,37.4705,0.0512,20.2051,578.5,2748.5,9954_1194B,Grainstone
335.1328,26.7332,10.1747,0.2982,1.5136,2.0995,0.0054,1.5976,1.5966,1.5076,2.1359,0.0057,4.4737,2.1907,36.833,0.1558,19.6084,553.5,2648,9960_1194B,Grainstone
335.2852,25.5254,9.5973,0.3193,1.205,1.9986,0.0054,1.6068,1.6079,1.5163,2.14,0.005,4.5025,2.204,38.1633,0.113,19.1345,598.5,2726.5,9966_1194B,Grainstone
335.4376,25.2554,9.8348,0.3409,1.155,1.9104,0.0054,1.614,1.6199,1.5463,2.1546,0.0104,4.3205,2.1374,36.5639,0.1483,19.4531,596.5,2648,9972_1194B,Grainstone
335.59,24.5854,9.3877,0.3574,0.9151,1.9299,0.0054,1.6264,1.63,1.5711,2.1647,0.0184,4.3146,2.1647,34.7565,0.2338,19.3906,598,2721,9978_1194B,Grainstone
335.7424,25.7507,11.2113,0.4348,1.0463,1.8722,0.0054,1.6368,1.6371,1.5757,2.1672,0.0256,4.1836,2.1672,34.3349,0.2838,19.3596,557,2666.5,9984_1194B,Grainstone
335.8948,26.2844,11.8002,0.4419,1.193,1.8642,0.0054,1.6474,1.6433,1.5791,2.1646,0.0265,4.275,2.1646,36.5547,0.1816,19.4337,584.5,2623,9990_1194B,Grainstone
336.0472,26.5469,12.2557,0.4563,1.2551,1.8584,0.0054,1.6594,1.6524,1.5838,2.1425,0.0227,4.1714,2.1425,36.4119,0.2202,19.7852,582.8571,2672,9996_1194B,Grainstone
336.1996,25.6843,12.0756,0.4178,1.4227,1.7722,0.0054,1.6654,1.6676,1.6111,2.1399,0.0184,4.1282,2.1399,35.9441,0.2582,19.4538,600.0698,2697.0767,10002_1194B,Grainstone
