DEPTH_WMSF (m),HALC (%),HSIG (cu),HSTO (in),HNEC (cps),HFEC (cps),HROM (g/cm3),HLEF (barns/e-),HBDC (g/cm3),HDEB (g/cm3),IMAGE_ID,ROCK_CLASS
255.7832,55.582,21.4522,0.3522,2670.1538,534.1475,2.0348,3.8651,0.0844,2.0341,639.572_640.842_28,Packstone
255.834,53.2648,21.3907,0.1964,2616.9885,536.5741,2.0479,3.9296,0.0852,2.0417,639.572_640.842_30,Packstone
255.8848,50.2105,20.819,0.1099,2657.3333,552,2.0436,4.571,0.0786,2.0484,639.572_640.842_32,Packstone
255.9356,47.6345,20.049,0.2724,2723.3306,517.9057,2.053,4.4518,0.076,2.049,639.572_640.842_34,Packstone
255.9864,44.0802,19.6782,0.3591,2612.2556,518.0916,2.0482,4.2174,0.0684,2.0413,639.572_640.842_36,Packstone
256.0372,45.037,20.321,0.3062,2653.0278,526.8258,2.0226,4.2082,0.0591,2.0307,639.572_640.842_38,Packstone
256.088,46.1496,21.3145,0.2029,2685.1465,519.2784,2.0192,4.4628,0.0571,2.0179,639.572_640.842_40,Packstone
256.1388,48.0799,21.3794,0.1551,2748.7263,509.0463,2.0087,4.1217,0.0539,2.008,639.572_640.842_42,Packstone
256.1896,51.1669,21.028,0.2238,2655.9727,536.8203,1.9968,4.1586,0.053,1.9955,639.572_640.842_44,Packstone
256.2404,50.1943,21.1391,0.1853,2612,509.3333,1.9776,4.4678,0.0483,1.9888,639.572_640.842_46,Packstone
256.2912,48.5314,19.7829,0.3004,2692,500.9456,1.9911,4.2026,0.0599,1.983,639.572_640.842_48,Packstone
256.342,44.4612,19.5669,0.5467,2660.533,533.6996,1.9778,4.2877,0.0605,1.9836,640.842_642.112_0,Packstone
256.3928,44.1613,18.5582,0.7696,2663.0476,527.0476,1.9862,3.9213,0.0727,1.984,640.842_642.112_2,Packstone
256.4436,44.5083,18.4082,0.8239,2690.5879,499.6306,1.9914,4.1997,0.0834,1.9928,640.842_642.112_4,Grainstone
256.4944,45.5321,18.1138,0.79,2674.9597,513.2949,2.0048,3.7568,0.0962,2.003,640.842_642.112_6,Grainstone
256.5452,47.6692,19.1066,0.4753,2669.3718,509.9231,2.0139,4.027,0.1081,2.0141,640.842_642.112_8,Grainstone
256.596,39.9262,17.7747,0.9644,2628,492,2.0241,4.0561,0.115,2.019,640.842_642.112_10,Grainstone
256.6468,43.8206,18.884,0.603,2634.7563,484.9048,2.0201,3.8202,0.1261,2.0172,640.842_642.112_12,Grainstone
256.6976,44.7847,19.2297,0.4906,2586.4495,526.4356,2.0093,4.1629,0.1212,2.0088,640.842_642.112_14,Grainstone
256.7484,48.0144,19.1439,0.4053,2645.7869,536.2496,1.9966,4.1248,0.12,1.9993,640.842_642.112_16,Grainstone
263.8096,60.2574,25.7709,0.7677,2474.4448,469.2214,1.9807,3.5723,0.2574,1.9731,647.192_648.462_44,Grainstone
263.8604,58.4887,25.9616,0.4909,2541.6753,446.021,1.9498,3.3226,0.2346,1.9603,647.192_648.462_46,Grainstone
263.9112,58.5517,26.2404,0.3324,2602.8572,490.0952,1.9508,3.4638,0.2405,1.9566,647.192_648.462_48,Grainstone
263.962,58.7237,25.1175,0.4445,2518.2856,456.5714,1.971,3.5052,0.2518,1.9604,648.462_649.732_0,Grainstone
264.0128,60.6585,25.2613,0.7306,2513.5291,506.3045,1.9635,3.3572,0.2477,1.9609,648.462_649.732_2,Grainstone
264.0636,60.0461,26.1495,0.8253,2502.4761,499.4286,1.9496,3.4269,0.2437,1.9526,648.462_649.732_4,Grainstone
264.1144,59.5094,26.1579,0.8443,2596,516,1.9373,3.2852,0.2446,1.9496,648.462_649.732_6,Grainstone
264.1652,61.4625,25.4772,0.7967,2548.5928,496.4445,1.9533,3.1286,0.2593,1.9479,648.462_649.732_8,Grainstone
264.216,64.394,24.7892,0.7124,2505.322,497.6307,1.9525,3.2926,0.2593,1.9497,648.462_649.732_10,Grainstone
264.2668,66.5346,25.1653,0.6365,2501.7778,460.4445,1.9471,3.4803,0.2548,1.9488,648.462_649.732_12,Grainstone
264.3176,65.5785,26.016,0.5103,2523.5164,470.6489,1.9426,3.2452,0.2515,1.9456,648.462_649.732_14,Grainstone
264.3684,64.2396,26.5317,0.3275,2540.6702,481.2423,1.9416,3.3188,0.2507,1.9426,648.462_649.732_16,Grainstone
264.4192,64.5021,26.7049,0.1623,2582.6255,476.8766,1.9379,3.3741,0.2502,1.9376,648.462_649.732_18,Grainstone
264.47,64.098,26.5937,0.2493,2623.7307,494.6923,1.9311,3.3701,0.2459,1.9363,648.462_649.732_20,Grainstone
264.5208,60.4545,25.5982,0.784,2501.1797,479.7737,1.9318,3.543,0.2408,1.937,648.462_649.732_22,Grainstone
273.4108,52.7289,24.3929,0.9463,2554.6667,512,1.999,3.532,0.2724,1.9964,657.352_658.622_22,Grainstone
273.4616,59.4826,23.3761,0.8386,2461.3333,432,1.9982,3.427,0.2717,1.9909,657.352_658.622_24,Grainstone
273.5124,59.792,23.7906,0.8329,2508,493.3333,1.9788,3.0724,0.2634,1.9858,657.352_658.622_26,Grainstone
273.5632,56.4031,23.146,0.8854,2578.6667,466,1.9778,3.2773,0.2639,1.9798,657.352_658.622_28,Grainstone
273.614,61.2332,22.5629,0.7926,2498.6667,484,1.9813,3.3153,0.2673,1.9769,657.352_658.622_30,Grainstone
273.6648,65.8686,23.5178,0.6642,2476,493.3333,1.9772,3.3279,0.262,1.9784,657.352_658.622_32,Grainstone
273.7156,59.9001,22.7184,0.8326,2504,520,1.9873,3.5351,0.2739,1.9772,657.352_658.622_34,Grainstone
273.7664,58.3796,21.5487,0.8733,2580,470.6667,1.979,3.1977,0.2675,1.9757,657.352_658.622_36,Grainstone
273.8172,59.2711,22.3402,0.8611,2480,476,1.969,3.3215,0.2654,1.9746,657.352_658.622_38,Grainstone
273.868,59.0935,21.9017,0.8516,2468,468,1.9712,3.2897,0.2672,1.9791,657.352_658.622_40,Grainstone
273.9188,61.0143,24.4417,0.2281,2584,458.6667,1.9956,3.4845,0.2769,1.9914,657.352_658.622_42,Grainstone
273.9696,62.8009,24.0735,0.7582,2548,480,2.0086,3.3065,0.2832,2.011,657.352_658.622_44,Grainstone
274.0204,63.6451,24.0939,0.7265,2610,418,2.0427,3.3195,0.2964,2.0239,657.352_658.622_46,Grainstone
274.0712,62.897,24.3502,0.7436,2537.3333,482.6667,2.0362,3.4296,0.2946,2.0337,657.352_658.622_48,Grainstone
274.122,63.7331,25.0279,0.7189,2533.3333,416,2.038,3.5833,0.2877,2.0349,658.622_659.892_0,Grainstone
274.1728,64.3031,25.8622,0.6959,2578,470.6667,2.0302,3.7551,0.282,2.0367,658.622_659.892_2,Grainstone
283.012,43.6655,20.3292,1.1026,2548,466.6667,2.0584,3.4304,0.1305,2.0659,667.512_668.782_0,Grainstone
283.0628,42.8075,20.2116,1.1192,2480,481.3333,2.0815,3.872,0.1387,2.078,667.512_668.782_2,Grainstone
283.1136,40.8962,20.3873,1.1629,2422,490,2.0954,3.9632,0.1436,2.0919,667.512_668.782_4,Grainstone
283.1644,38.0517,19.3569,1.2709,2652,457.3333,2.1078,3.661,0.1402,2.0916,667.512_668.782_6,Grainstone
283.2152,40.6505,20.0654,1.1528,2508,546.6667,2.0804,3.7737,0.1311,2.0885,667.512_668.782_8,Grainstone
283.266,45.1454,20.222,1.0771,2541.3333,508,2.0761,3.7865,0.1238,2.0823,667.512_668.782_10,Grainstone
283.3168,44.8555,20.4259,1.087,2457.3333,458,2.0901,4.0204,0.1239,2.0803,667.512_668.782_12,Grainstone
283.3676,39.8491,20.3326,1.1906,2614,510.6667,2.0823,4.2532,0.1257,2.0821,667.512_668.782_14,Grainstone
283.4184,44.585,21.4371,0.7637,2512,506.6667,2.0848,3.895,0.1272,2.0719,667.512_668.782_16,Grainstone
283.4692,47.9622,21.2928,0.5235,2518,509.3333,2.0555,4.0763,0.1232,2.0654,667.512_668.782_18,Grainstone
283.52,46.3247,21.2019,0.6351,2574.6667,512,2.0564,4.2414,0.1291,2.0621,667.512_668.782_20,Grainstone
283.5708,43.532,20.0324,0.8955,2629.3333,528,2.0711,4.0678,0.1367,2.0622,667.512_668.782_22,Grainstone
292.6132,41.743,18.3882,1.0423,2628,502,2.0592,4.0232,0.1512,2.058,676.402_677.672_28,Grainstone
292.664,41.7384,18.3036,1.1277,2561.6296,507.3333,2.0585,3.6617,0.1517,2.0495,676.402_677.672_30,Grainstone
292.7148,40.879,18.3141,1.1466,2583.3752,516.2875,2.0366,3.5783,0.1443,2.045,676.402_677.672_32,Grainstone
292.7656,42.8675,18.9089,0.9771,2589.3333,507.5556,2.0295,3.6225,0.1382,2.0474,676.402_677.672_34,Grainstone
292.8164,42.4463,19.0868,0.9137,2611.3333,475.7037,2.0622,3.9448,0.1464,2.0533,676.402_677.672_36,Grainstone
292.8672,42.2299,20.0286,0.79,2578.7954,472.4255,2.0698,4.2023,0.1471,2.0633,676.402_677.672_38,Grainstone
292.918,44.2984,21.8119,0.5153,2527.0713,492.4516,2.068,3.7423,0.1438,2.0702,676.402_677.672_40,Grainstone
292.9688,46.1037,22.7289,0.3312,2532.4443,497.1852,2.0692,3.7355,0.1472,2.0724,676.402_677.672_42,Grainstone
293.0196,46.8487,22.3582,0.3652,2462.2241,526.9655,2.0794,4.1858,0.1457,2.0713,676.402_677.672_44,Grainstone
293.0704,47.1481,21.1215,0.3254,2448,508,2.0729,4.3982,0.1407,2.0707,676.402_677.672_46,Grainstone
293.1212,45.9322,20.8223,0.4373,2629.3333,500.8889,2.0649,4.2203,0.1348,2.0695,676.402_677.672_48,Grainstone
293.172,47.3999,20.579,0.3735,2634.3704,507.7778,2.0667,3.9128,0.1358,2.0669,677.672_678.942_0,Grainstone
293.2228,46.788,19.847,0.5136,2635.105,491.3532,2.0696,4.0638,0.135,2.0654,677.672_678.942_2,Grainstone
293.2736,44.0007,18.547,0.8274,2589.575,479.4124,2.0607,3.8483,0.1346,2.0635,677.672_678.942_4,Grainstone
293.3244,42.4132,17.0489,1.0631,2563.7039,497.1852,2.0622,4.0354,0.1321,2.0608,677.672_678.942_6,Grainstone
293.3752,43.3825,16.3947,1.1121,2569.3333,511.5555,2.0562,4.1988,0.1288,2.0584,677.672_678.942_8,Grainstone
302.2144,46.5593,22.2606,0.4759,2504,534.6667,2.0652,3.9395,0.1597,2.0685,686.562_687.832_6,Grainstone
302.2652,38.2461,18.8748,1.2367,2546,502.6667,2.0623,3.8339,0.1566,2.069,686.562_687.832_8,Grainstone
302.316,40.6329,18.4336,1.1515,2574.6667,486,2.0739,4.0006,0.1652,2.0687,686.562_687.832_10,Grainstone
302.3668,46.2537,20.5156,0.5915,2582.6667,449.3333,2.0645,3.9372,0.1587,2.0671,686.562_687.832_12,Grainstone
302.4176,49.6718,19.5796,0.7681,2588,496,2.0633,3.8788,0.1549,2.0612,686.562_687.832_14,Grainstone
302.4684,49.3181,18.5842,0.7575,2578.6667,522,2.0504,3.9022,0.1479,2.0582,686.562_687.832_16,Grainstone
302.5192,45.1794,18.1278,1.0825,2642,524,2.0584,3.994,0.1502,2.054,686.562_687.832_18,Grainstone
302.57,50.6199,20.1705,0.6582,2686.6667,524,2.0483,3.783,0.1395,2.049,686.562_687.832_20,Grainstone
302.6208,53.9498,21.326,0.4168,2562.6667,496,2.0471,4.0788,0.1373,2.0411,686.562_687.832_22,Grainstone
302.6716,50.18,21.7694,0.4873,2498,462.6667,2.0312,3.9496,0.1303,2.0337,686.562_687.832_24,Grainstone
302.7224,51.1588,21.4064,0.4411,2644,546,2.0254,3.9893,0.1251,2.0261,686.562_687.832_26,Grainstone
302.7732,47.5082,19.5719,0.6722,2624,504,2.0179,4.136,0.1171,2.0264,686.562_687.832_28,Grainstone
302.824,42.8577,19.9248,0.7418,2560,505.3333,2.0292,3.9334,0.1248,2.0301,686.562_687.832_30,Grainstone
302.8748,44.6183,18.8459,0.7977,2624,496,2.0388,4.0731,0.124,2.0351,686.562_687.832_32,Grainstone
302.9256,39.0562,16.6195,1.2006,2537.3333,512,2.0377,3.795,0.1265,2.0373,686.562_687.832_34,Grainstone
302.9764,39.4381,16.8507,1.185,2514,518.6667,2.0367,3.6461,0.1259,2.0334,686.562_687.832_36,Grainstone
303.0272,40.3904,18.0412,1.1534,2546.6667,542,2.0245,3.6801,0.1195,2.026,686.562_687.832_38,Grainstone
303.078,39.8981,18.0644,1.1787,2480,492,2.0167,3.6713,0.1147,2.0189,686.562_687.832_40,Grainstone
303.1288,38.9797,19.2513,1.2092,2648,461.3333,2.0166,3.2257,0.1109,2.0139,686.562_687.832_42,Grainstone
303.1796,39.4327,20.1007,1.1657,2593.3333,550,2.0132,3.631,0.1031,2.0133,686.562_687.832_44,Grainstone
303.2304,39.1556,19.8619,1.1957,2560,528,2.0116,3.777,0.1004,2.0164,686.562_687.832_46,Grainstone
303.2812,41.3802,21.7089,0.8103,2586,490.6667,2.0264,3.7551,0.0985,2.0145,686.562_687.832_48,Grainstone
303.332,40.5946,21.3592,0.819,2536,546,2.0099,4.001,0.093,2.0151,687.832_689.102_0,Grainstone
303.3828,44.6342,20.5799,0.6591,2596,524,2.0106,4.211,0.0926,2.0122,687.832_689.102_2,Grainstone
303.4336,45.8412,21.248,0.5199,2638.6667,542.6667,2.0176,4.2216,0.0952,2.0118,687.832_689.102_4,Grainstone
303.4844,46.759,20.6982,0.6139,2480,514,2.0124,4.3567,0.0901,2.0141,687.832_689.102_6,Grainstone
303.5352,46.3843,18.3251,1.0562,2609.3333,528,2.0112,3.6304,0.09,2.0113,687.832_689.102_8,Grainstone
303.586,46.8121,18.8919,1.0506,2537.3333,476,2.0127,3.9619,0.0922,2.0068,687.832_689.102_10,Grainstone
303.6368,48.6164,20.9277,0.5917,2650,560,1.9925,4.1651,0.0847,2.0098,687.832_689.102_12,Grainstone
303.6876,51.6899,20.8357,0.5325,2533.3333,540,2.0196,4.0679,0.084,2.0159,687.832_689.102_14,Grainstone
303.7384,51.7027,20.5506,0.6864,2624,526.6667,2.0384,3.793,0.0868,2.0266,687.832_689.102_16,Grainstone
303.7892,51.531,19.9777,0.6178,2569.3333,513.3333,2.0366,3.9919,0.0835,2.0314,687.832_689.102_18,Grainstone
303.84,48.3045,20.1385,0.4703,2681.3333,500,2.0225,4.2334,0.07,2.0292,687.832_689.102_20,Grainstone
303.8908,49.5981,19.9695,0.3363,2702,532,2.0252,3.9618,0.0666,2.0221,687.832_689.102_22,Grainstone
311.9172,37.9469,19.3295,0.6669,2550.865,560.6746,2.1087,3.3837,0.1375,2.1095,695.452_696.722_38,Grainstone
311.968,35.7083,18.7669,0.82,2605.7544,554.6152,2.1083,3.3661,0.135,2.1038,695.452_696.722_40,Grainstone
312.0188,35.3752,17.8017,1.0215,2564.447,549.6694,2.0985,3.5661,0.129,2.1031,695.452_696.722_42,Grainstone
312.0696,35.5932,17.3469,1.0299,2495.0476,531.8095,2.0993,3.6489,0.1267,2.1109,695.452_696.722_44,Grainstone
312.1204,36.99,18.4843,0.736,2552.3171,526.7214,2.1326,3.5711,0.1234,2.1216,695.452_696.722_46,Grainstone
312.1712,38.6834,19.4344,0.5648,2644.6294,536.0856,2.138,3.8541,0.1202,2.1321,695.452_696.722_48,Grainstone
312.222,38.9903,19.4882,0.5977,2628.1982,556.1791,2.1399,3.8803,0.1246,2.1296,696.722_697.992_0,Grainstone
312.2728,38.8401,18.9978,0.7067,2538.3052,548.3472,2.1179,3.7253,0.1146,2.1186,696.722_697.992_2,Grainstone
312.3236,38.0101,18.4549,0.8501,2503.5601,543.3865,2.1021,4.3134,0.1108,2.1107,696.722_697.992_4,Grainstone
312.3744,38.5348,18.4113,0.8482,2527.4529,552.0809,2.1036,4.6439,0.1124,2.1136,696.722_697.992_6,Grainstone
312.4252,40.9307,18.9062,0.6799,2610.4761,536.4,2.1268,4.6852,0.1225,2.1246,696.722_697.992_8,Grainstone
312.476,41.9022,19.4822,0.5791,2633.8337,531.1686,2.1409,3.8887,0.1322,2.1356,696.722_697.992_10,Grainstone
312.5268,40.6326,19.3687,0.647,2587.8494,534.4336,2.1446,3.6859,0.1324,2.1324,696.722_697.992_12,Grainstone
312.5776,40.7054,19.2332,0.6649,2614.6697,560.4254,2.1171,3.7459,0.1218,2.1189,696.722_697.992_14,Grainstone
312.6284,41.1844,19.8339,0.5952,2615.1877,580.6461,2.094,3.8494,0.1099,2.0993,696.722_697.992_16,Grainstone
312.6792,41.5799,20.7381,0.4577,2631.0266,538.654,2.0826,3.5493,0.1068,2.0823,696.722_697.992_18,Grainstone
312.73,42.4254,20.4138,0.417,2585.9048,522.819,2.0669,4.1002,0.0958,2.0713,696.722_697.992_20,Grainstone
312.7808,41.9157,20.5102,0.4346,2614.0498,522.673,2.0615,4.2131,0.089,2.0662,696.722_697.992_22,Grainstone
312.8316,39.5469,19.9209,0.5539,2552.0571,548.2322,2.0667,3.996,0.0899,2.0631,696.722_697.992_24,Grainstone
312.8824,37.6164,19.7241,0.5791,2528.2522,539.4316,2.063,3.8599,0.0875,2.0641,696.722_697.992_26,Grainstone
312.9332,35.4231,19.3234,0.7376,2504.5278,523.9231,2.0602,3.6914,0.0923,2.0698,696.722_697.992_28,Grainstone
312.984,32.0876,18.2581,0.9107,2537.3318,550.0071,2.0813,3.6213,0.1009,2.0745,696.722_697.992_30,Grainstone
313.0348,32.4332,17.7784,0.9729,2602.9346,515.3096,2.0818,3.8871,0.1015,2.0834,696.722_697.992_32,Grainstone
313.0856,36.3148,18.856,0.7535,2611.1746,542.3143,2.0903,3.8197,0.1097,2.0851,696.722_697.992_34,Grainstone
313.1364,36.9971,18.4161,0.8867,2566.365,502.179,2.0871,4.1416,0.1071,2.0824,696.722_697.992_36,Grainstone
313.1872,39.8397,19.2984,0.7041,2591.4292,561.7582,2.0728,4.0265,0.1011,2.0803,696.722_697.992_38,Grainstone
313.238,40.6564,18.983,0.6793,2628.2764,556.9429,2.0798,4.0998,0.0986,2.071,696.722_697.992_40,Grainstone
313.2888,43.0752,19.6759,0.493,2651.6848,507.9683,2.0606,4.2089,0.0838,2.0655,696.722_697.992_42,Grainstone
321.5184,39.5474,18.9131,0.3817,2604.269,527.5356,2.0842,3.384,0.0992,2.0826,705.612_706.882_16,Packstone
321.5692,37.8596,19.1493,0.4769,2574.4717,559.0535,2.0866,3.9614,0.1,2.0895,705.612_706.882_18,Packstone
321.62,36.9141,18.7336,0.4983,2579.9485,515.7404,2.0941,3.9719,0.1038,2.0952,705.612_706.882_20,Packstone
321.6708,37.4495,18.2064,0.5314,2579.4397,542.5482,2.1021,3.3798,0.1076,2.0929,705.612_706.882_22,Packstone
321.7216,37.9946,18.318,0.5267,2572.2886,559.2725,2.0855,3.5862,0.1028,2.0875,705.612_706.882_24,Packstone
321.7724,40.4586,19.0136,0.4277,2524,529.8959,2.0698,3.6036,0.0986,2.082,705.612_706.882_26,Packstone
321.8232,41.6865,19.4005,0.4282,2541.7734,511.118,2.0849,4.0334,0.1023,2.0788,705.612_706.882_28,Packstone
321.874,40.5464,19.5536,0.4792,2585.5737,487.3493,2.0843,4.046,0.1045,2.0795,705.612_706.882_30,Packstone
321.9248,39.1395,19.9935,0.5152,2573.6299,514.5593,2.0792,3.8238,0.1056,2.0757,705.612_706.882_32,Packstone
321.9756,40.0571,21.0507,0.5334,2539.9951,532.2193,2.068,3.8225,0.1027,2.0699,705.612_706.882_34,Packstone
322.0264,40.4317,21.6428,0.5237,2551.9199,537.1346,2.0605,3.7188,0.1051,2.0661,705.612_706.882_36,Packstone
322.0772,40.7803,21.5702,0.5131,2534.6162,533.3461,2.0668,3.7047,0.1105,2.0638,705.612_706.882_38,Packstone
322.128,42.3258,21.2627,0.5004,2552.2754,547.0012,2.0612,3.4066,0.1107,2.0663,705.612_706.882_40,Packstone
322.1788,44.6155,21.7651,0.3947,2588.8462,545.5449,2.0679,3.5133,0.1131,2.0694,705.612_706.882_42,Packstone
322.2296,46.2598,22.0882,0.3585,2605.5417,562.7869,2.0741,3.6844,0.1202,2.0751,705.612_706.882_44,Packstone
322.2804,49.5185,22.208,0.2567,2541.4021,557.649,2.0824,3.696,0.1274,2.0766,705.612_706.882_46,Packstone
322.3312,49.4428,21.5593,0.2904,2481.6663,533.1108,2.076,3.7284,0.1267,2.0715,705.612_706.882_48,Packstone
322.382,46.2949,21.6568,0.3408,2553.8655,519.4183,2.0574,3.4691,0.1212,2.0684,706.882_708.152_0,Packstone
322.4328,42.5163,22.2212,0.4728,2612.5176,507.1755,2.0657,3.4207,0.1226,2.0694,706.882_708.152_2,Packstone
322.4836,39.7902,22.1251,0.6046,2542.3369,519.4446,2.0798,3.4829,0.1195,2.0793,706.882_708.152_4,Packstone
322.5344,39.4616,21.6176,0.5915,2538.2939,512.5497,2.0963,3.6049,0.1174,2.0877,706.882_708.152_6,Packstone
322.5852,38.1059,21.2378,0.6268,2605.6531,516.7901,2.0913,3.5176,0.1071,2.0889,706.882_708.152_8,Packstone
322.636,37.3522,21.1645,0.6262,2657.78,536.3329,2.0871,3.6453,0.1028,2.0803,706.882_708.152_10,Packstone
322.6868,41.5569,21.7617,0.3686,2631.4712,527.577,2.0635,3.6129,0.0871,2.071,706.882_708.152_12,Packstone
322.7376,43.0248,21.1153,0.2574,2560.2837,531.1851,2.0585,3.6803,0.0807,2.0674,706.882_708.152_14,Packstone
322.7884,41.3868,20.0122,0.2989,2512.9939,544.3922,2.0698,3.8974,0.08,2.0726,706.882_708.152_16,Packstone
322.8392,39.935,19.3084,0.3325,2601.7852,536.9775,2.0893,3.9422,0.0829,2.0835,706.882_708.152_18,Packstone
322.89,39.6174,18.8213,0.3064,2584.1882,532.758,2.0934,4.0528,0.0769,2.094,706.882_708.152_20,Packstone
322.9408,38.5948,18.2606,0.3364,2479.8582,527.9119,2.0985,3.989,0.0679,2.0998,706.882_708.152_22,Packstone
322.9916,37.0538,17.9893,0.4265,2553.7688,573.5526,2.1062,3.8464,0.0592,2.1056,706.882_708.152_24,Packstone
323.0424,35.0085,17.7133,0.5046,2642.1538,574.032,2.1124,4.2911,0.0533,2.1095,706.882_708.152_26,Packstone
323.0932,33.6542,18.2199,0.5833,2624.157,537.0425,2.116,4.269,0.0443,2.1083,706.882_708.152_28,Packstone
323.144,35.3696,18.8791,0.4988,2554.8828,537.7175,2.1025,4.3973,0.0339,2.1063,706.882_708.152_30,Packstone
323.1948,36.3542,19.0686,0.438,2631.8174,539.7532,2.0998,3.9069,0.0313,2.1023,706.882_708.152_32,Packstone
323.2456,35.1842,19.2804,0.4749,2670.4263,535.6971,2.1001,4.0058,0.0278,2.1021,706.882_708.152_34,Packstone
323.2964,36.4722,19.6494,0.4126,2640.6675,568.3361,2.1019,4.2185,0.0283,2.1107,706.882_708.152_36,Packstone
323.3472,40.1203,20.2018,0.2329,2618.2563,563.0897,2.1266,3.8217,0.0359,2.1164,706.882_708.152_38,Packstone
323.398,41.0293,20.2117,0.181,2626.1426,557.5353,2.1289,4.2041,0.0378,2.1211,706.882_708.152_40,Packstone
323.4488,40.7834,19.7659,0.1563,2687.5518,552.994,2.1142,4.2376,0.0353,2.1194,706.882_708.152_42,Packstone
323.4996,41.6933,19.9366,0.1314,2678.282,566.375,2.1151,4.8008,0.0342,2.1116,706.882_708.152_44,Packstone
323.5504,42.8337,19.9058,0.0942,2641.3398,563.8045,2.103,4.7527,0.031,2.1066,706.882_708.152_46,Packstone
323.6012,41.9491,19.3368,0.1251,2651.7788,608.2276,2.0998,4.3329,0.0322,2.1011,706.882_708.152_48,Packstone
323.652,40.6363,18.9916,0.2236,2607.7886,572.6771,2.0977,4.2034,0.0384,2.1006,708.152_709.422_0,Packstone
323.7028,39.9621,18.7236,0.3074,2618.8557,539.7244,2.0975,4.0325,0.0409,2.1026,708.152_709.422_2,Packstone
323.7536,37.3752,18.3656,0.4311,2649.4839,568.101,2.1116,4.5371,0.0466,2.1051,708.152_709.422_4,Packstone
323.8044,34.0744,17.4653,0.5509,2585.3237,556.1104,2.1014,4.4314,0.0476,2.1134,708.152_709.422_6,Packstone
323.8552,35.143,16.4533,0.5157,2639.665,576.1266,2.123,4.3252,0.0542,2.1161,708.152_709.422_8,Packstone
323.906,36.5037,16.606,0.447,2592.5681,590.0473,2.1227,4.2178,0.0597,2.1185,708.152_709.422_10,Packstone
331.1196,35.9162,17.7145,0.5311,2651.2808,551.0331,2.1643,3.7617,0.0255,2.1667,714.502_715.772_44,Grainstone
331.1704,35.2792,17.8853,0.5553,2600,496,2.164,4.4087,0.0222,2.158,714.502_715.772_46,Grainstone
331.2212,34.573,18.1297,0.5037,2649.1575,546.0623,2.1389,4.2884,0.0142,2.1515,714.502_715.772_48,Grainstone
331.272,35.5888,18.6972,0.3921,2632.0493,551.9012,2.1497,4.2496,0.0138,2.1456,715.772_717.042_0,Grainstone
331.3228,36.645,19.2708,0.3175,2635.3535,535.7418,2.1484,4.355,0.0133,2.1448,715.772_717.042_2,Grainstone
331.3736,37.335,20.8671,0.25,2692.5093,566.2802,2.1403,4.2303,0.0091,2.1248,715.772_717.042_4,Grainstone
331.4244,38.5476,21.1519,0.1672,2733.8628,550.8901,2.129,4.3402,0.003,2.1203,715.772_717.042_6,Grainstone
331.4752,39.6945,20.2259,0.1093,2677.5239,535.4286,2.1189,4.2575,0.0014,2.1395,715.772_717.042_8,Grainstone
331.526,40.2398,19.5155,0.0289,2676,609.3333,2.1018,4.5141,-0.001,2.1676,715.772_717.042_10,Grainstone
331.5768,40.0495,18.5675,0.0854,2726.1143,586.2881,2.1091,4.5656,0.0036,2.1402,715.772_717.042_12,Grainstone
331.6276,39.5957,17.8954,0.083,2673.7546,569.5549,2.1214,5.7398,0.0089,2.1168,715.772_717.042_14,Grainstone
331.6784,38.9667,16.6574,0.1064,2726.8572,578.4762,2.1257,5.8331,0.0146,2.0995,715.772_717.042_16,Grainstone
331.7292,38.2249,16.0214,0.1921,2718.4417,583.0873,2.1345,4.9486,0.025,2.1404,715.772_717.042_18,Grainstone
331.78,37.0694,15.9634,0.3304,2657.4871,586.0476,2.1633,4.2108,0.0269,2.1462,715.772_717.042_20,Grainstone
331.8308,37.3293,16.1981,0.3551,2665.3333,575.4286,2.1429,4.0159,0.0225,2.1469,715.772_717.042_22,Grainstone
331.8816,39.1259,16.6517,0.3338,2704,564,2.141,4.3199,0.0211,2.1403,715.772_717.042_24,Grainstone
331.9324,38.7046,17.4596,0.274,2681.2517,621.5333,2.1418,4.2178,0.019,2.1379,715.772_717.042_26,Grainstone
331.9832,38.1908,17.8253,0.2453,2777.6548,601.2692,2.136,4.4188,0.0209,2.1399,715.772_717.042_28,Grainstone
332.034,38.6298,18.6286,0.1594,2678.4417,588.6091,2.1452,3.9209,0.0195,2.1253,715.772_717.042_30,Grainstone
332.0848,37.4342,18.8858,0.0868,2630.8572,627.4286,2.1253,4.2825,0.0124,2.1262,715.772_717.042_32,Grainstone
332.1356,36.2906,18.7965,0.0786,2660.2793,591.6292,2.1214,4.4604,0.0069,2.1279,715.772_717.042_34,Grainstone
332.1864,36.268,19.1651,0.0493,2652.375,576.8578,2.118,4.7358,0.0022,2.1452,715.772_717.042_36,Grainstone
332.2372,36.868,19.6001,0.0557,2592,612,2.1294,4.943,0.0021,2.1269,715.772_717.042_38,Grainstone
332.288,37.8625,19.3851,0.0397,2677.3333,540.8889,2.1112,4.1772,-0.0037,2.1176,715.772_717.042_40,Grainstone
332.3388,37.621,18.9984,0.0275,2699.4109,580.7556,2.1066,4.4716,-0.0039,2.1145,715.772_717.042_42,Grainstone
332.3896,37.629,19.0477,-999.25,2724,625.7778,2.1069,4.7335,-0.0035,2.1164,715.772_717.042_44,Grainstone
